true_group,n,true_mean,raw_pred_mean,calibrated_pred_mean,raw_mae,calibrated_mae,raw_bias,calibrated_bias
0s,999,4.925925925925926,5.9655344453719525,5.872440900447252,1.8456877115908805,1.817431720914306,1.0396085194460265,0.9465149745213257
10s,1438,15.14116828929068,16.84640201175992,16.57449589214935,3.4504130951055068,3.2329183699670194,1.7052337224692395,1.4333276028586697
20s,1264,23.774525316455698,24.6475080093251,24.072185224514975,3.9147845604751685,3.9434722532139546,0.8729826928694037,0.29765990805927733
30s,624,34.107371794871796,31.91573344744169,31.68598505000579,5.496343465951773,5.803402601290972,-2.191638347430107,-2.4213867448660036
40s,486,43.617283950617285,39.375152572192285,39.36172253104002,6.407883004396541,6.44743267269684,-4.242131378425001,-4.255561419577263
50s,189,54.195767195767196,47.930453497266015,48.09272862954114,7.178587262592618,7.189191295886165,-6.265313698501183,-6.103038566226048
60plus,50,64.28,48.14518253326416,48.336362533264165,16.166329154968263,15.97514915496826,-16.13481746673584,-15.943637466735838
