true_group,n,true_mean,pred_mean,mae,bias
0s,999,4.925925925925926,6.73388726193387,2.2969960860900573,1.807961336007944
10s,1438,15.14116828929068,17.784709606117598,3.7920144874296864,2.643541316826917
20s,1264,23.774525316455698,25.844568820693826,4.326640043832079,2.0700435042381287
30s,624,34.107371794871796,33.91504995639507,4.484127423702142,-0.192321838476719
40s,486,43.617283950617285,39.79859078568196,5.0586128666567705,-3.8186931649353277
50s,189,54.195767195767196,47.481735401052646,7.066484108173027,-6.71403179471455
60plus,50,64.28,49.18562931060791,15.09437068939209,-15.09437068939209
